Product,ProductId,Brand,Quantity,Unit,Barcode,Category,Price,UnitPrice,SpecialPrice,BestPrice30,AnchorPrice
TIJESTO K PLUS PENNE RIGATE PREMIUM 500g,90312379,K PLUS,0.50 kg,ko,3850334352507,HRANA,1.55,3.1,,,1.49
SIR TVRDI K PLUS EMMENTALER 100g,90291790,K PLUS,0.10 kg,ko,3850334343444,HRANA,1.65,16.5,,,1.55
TOAST K PLUS INTEGRALNI 500g,90290979,K PLUS,0.50 kg,ko,3850334610850,HRANA,1.65,3.3,,,1.39
SIR MEKI MASCARPONE K PLUS 500G,90287049,K PLUS,0.50 kg,ko,3850334599049,HRANA,4.99,9.98,,,3.59
SIR POLUTV K PLUS MAASDAM 100G,90219869,K PLUS,0.10 kg,ko,3850334577368,HRANA,1.89,18.9,,,1.75
JOGURT K PLUS  TEK 180G 2.8%,90182933,K PLUS,0.18 kg,ko,3850334388100,HRANA,0.44,2.44,,,0.37
SIR K PLUS EDAMER 300G,90148333,K PLUS,0.30 kg,ko,3850334406354,HRANA,3.79,12.63,,,2.79
SIR POLUTVRDI GAUDA K PLUS 100g,90141879,K PLUS,0.10 kg,ko,3850334406262,HRANA,1.49,14.9,,,1.39
MLINCI K PLUS 250g  MLIN JERTOVEC,90095592,K PLUS,0.25 kg,ko,3850334405722,HRANA,1.65,6.6,,,1.52
RIŽA K PLUS 500g 4X125g DUGO ZRNO,90071920,K PLUS,0.50 kg,ko,3850334363640,HRANA,1.29,2.58,,,1.25
SIR POLUTVRDI MASDAM K PLUS 300g FRI,90070216,K PLUS,0.30 kg,ko,3850334351470,HRANA,4.59,15.3,,,4.29
DŽEM MIJEŠANI K PLUS 840g,90067420,K PLUS,0.84 kg,ko,3850334350992,HRANA,3.69,4.39,,,3.39
KRUPICA PŠENIČNA GRIS K PLUS 1kg,90064212,K PLUS,1.00 kg,ko,3850334340559,HRANA,1.1,1.1,,,0.99
PECIVO OBITELJSKO K PLUS 8/1 400g,90057790,K PLUS,0.40 kg,ko,3850334343185,HRANA,2.35,5.88,,,2.15
SIR MEKI MOZZAR K PLUS 100g,02398939,K PLUS,0.10 kg,ko,3850334000781,HRANA,1.39,13.9,,,1.15
KAKAO NAPITAK 450ml K PLUS,90770096,K PLUS,0.45 l,ko,3850334105462,HRANA,1.29,2.87,,,1.15
BUĐOLA K PLUS NAR 250g,90670425,K PLUS,0.25 kg,ko,3850334019905,HRANA,6.29,25.16,,,5.89
